ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Protein name)	subunits(Gene name)	SWISSPROT organism	Subunits comment	Complex comment	subunits(Gene name syn)	Disease comment	PubMed ID
6189	ArgRS-GlnRS-AIMP1 complex	Human	None	None	P47897;P54136;Q12904	5859;5917;9255	MI:0114- x-ray crystallography	GO:0006418;GO:0017101	tRNA aminoacylation for protein translation;aminoacyl-tRNA synthetase multienzyme complex	None	None	Glutamine--tRNA ligase ;Arginine--tRNA ligase, cytoplasmic ;Aminoacyl tRNA synthase complex-interacting multifunctional protein 1	QARS;RARS;AIMP1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	;;EMAP2 SCYE1	None	25288775
6190	p38gamma-Hsp90-K-Ras complex	Human	None	HEK-293T	P01116;P08238;P53778	3845;3326;6300	MI:0019- coimmunoprecipitation	GO:0001558	regulation of cell growth	None	None	GTPase KRas ;Heat shock protein HSP 90-beta;Mitogen-activated protein kinase 12	KRAS;HSP90AB1;MAPK12	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	KRAS2 RASK2;HSP90B HSPC2 HSPCB;ERK6 SAPK3	K-Ras-dependent colon cancer	24962213
6191	IGF2-IGFBP2 complex	Human	None	None	P01344;P18065	3481;3485	MI:0004- affinity chromatography technologies	GO:0045667;GO:0008201	regulation of osteoblast differentiation;heparin binding	None	None	Insulin-like growth factor II ;Insulin-like growth factor-binding protein 2	IGF2;IGFBP2	Homo sapiens (Human);Homo sapiens (Human)	None	None	;BP2 IBP2	None	24604839
6192	CHDH-SQSTM1-MAP1LC3 complex	Human	None	HeLa cells	Q13501;Q8NE62;Q9H492	8878;55349;84557	MI:0019- coimmunoprecipitation	GO:1904925	positive regulation of mitophagy in response to mitochondrial depolarization	None	None	Sequestosome-1;Choline dehydrogenase, mitochondrial ;Microtubule-associated proteins 1A/1B light chain 3A	SQSTM1;CHDH;MAP1LC3A	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	ORCA OSIL;;	None	25483962
6193	ADAM12-alphaVbeta3-integrin-MMP-14 complex	Human	None	HEK-293 cells	O43184;P05106;P06756;P50281	8038;3690;3685;4323	MI:0019- coimmunoprecipitation	GO:0042981	regulation of apoptotic process	None	None	Disintegrin and metalloproteinase domain-containing protein 12 ;Integrin beta-3;Integrin alpha-V;Matrix metalloproteinase-14	ADAM12;ITGB3;ITGAV;MMP14	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	MLTN;GP3A;MSK8, VNRA;None	None	24006261
6194	B-WICH complex	Human	None	HeLa cells	O00159;O60264;O75533;P35659;Q03468;Q9BQG0;Q9NR30;Q9UIG0	4641;8467;23451;7913;2074;10514;9188;9031	MI:0019- coimmunoprecipitation;MI:0226- ion exchange chromatography	GO:0003682;GO:0001035;GO:0005634	chromatin binding;transcription from RNA polymerase III type 3 promoter;nucleus	70.10	nucleus	Unconventional myosin-Ic ;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;Splicing factor 3B subunit 1 ;Protein DEK;DNA excision repair protein ERCC-6 ;Myb-binding protein 1A;Nucleolar RNA helicase 2 ;Tyrosine-protein kinase BAZ1B	MYO1C;SMARCA5;SF3B1;DEK;ERCC6;MYBBP1A;DDX21;BAZ1B	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	The 45 S rRNA, the 5 S rRNA, and the 7SL RNA are parts of the B-WICH complex.	;SNF2H, WCRF135;SAP155;;CSB;P160;;WBSC10 WBSCR10 WBSCR9 WSTF	None	25883140
6195	Stargazin-AP-2-AP-3a complex	Human	CACNG2-AP2A1-AP3D1 complex	None	O14617;O95782;Q9Y698	8943;160;10369	MI:0019- coimmunoprecipitation	GO:2000311	regulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity	None	None	AP-3 complex subunit delta-1;AP-2 complex subunit alpha-1;Voltage-dependent calcium channel gamma-2 subunit	AP3D1;AP2A1;CACNG2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	None;ADTAA CLAPA1;None	None	24217640
6196	Stargazin-Glu1-mu2 complex	Human	None	None	P42261;Q96CW1;Q9Y698	2890;1173;10369	MI:0096-pull down	GO:2000311	regulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity	None	None	Glutamate receptor 1;AP-2 complex subunit mu;Voltage-dependent calcium channel gamma-2 subunit	GRIA1;AP2M1;CACNG2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	GLUH1 GLUR1;CLAPM1 KIAA0109;None	None	24217640
6197	Stargazin-Glu1-mu3 complex	Human	None	None	P42261;P53677;Q9Y698	2890;10947;10369	MI:0019- coimmunoprecipitation	GO:2000311	regulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity	None	None	Glutamate receptor 1;AP-3 complex subunit mu-2;Voltage-dependent calcium channel gamma-2 subunit	GRIA1;AP3M2;CACNG2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	GLUH1 GLUR1;None;None	None	24217640
6198	Stargazin-Glu2A-mu2 complex	Human	CACNG2-GRIA2-AP2M1 complex	None	P42262;Q96CW1;Q9Y698	2891;1173;10369	MI:0019- coimmunoprecipitation	GO:2000311	regulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity	None	None	Glutamate receptor 2 ;AP-2 complex subunit mu;Voltage-dependent calcium channel gamma-2 subunit	GRIA2;AP2M1;CACNG2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	GLUR2;CLAPM1 KIAA0109;None	None	24217640
6199	Stargazin-Glu2A-mu3 complex	Human	None	None	P42262;P53677;Q9Y698	2891;10947;10369	MI:0019- coimmunoprecipitation	GO:2000311	regulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity	None	None	Glutamate receptor 2 ;AP-3 complex subunit mu-2;Voltage-dependent calcium channel gamma-2 subunit	GRIA2;AP3M2;CACNG2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	GLUR2;None;None	None	24217640
6200	Axin-TNKS2-KIF3A complex	Mouse	None	3T3-L1 adipocytes	O35625;P28741;Q3UES3	12005;16568;74493	MI:0019- coimmunoprecipitation;MI:0096- pull down	GO:0010827	regulation of glucose transport	None	None	Axin-1;Kinesin-like protein KIF3A;Tankyrase-2	Axin1;Kif3a;Tnks2	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	None	Axin Fu;Kif3;Tank2	None	22473005
6201	Dock3-Elmo-RhoG complex	Mouse	None	PC12 cells	P84096;Q8BPU7;Q8CIQ7	56212;140580;56212	MI:0096- pull down	GO:0031548;GO:0051386	regulation of brain-derived neurotrophic factor receptor signaling pathway;regulation of neurotrophin TRK receptor signaling pathway	None	None	Rho-related GTP-binding protein RhoG ;Engulfment and cell motility protein 1 ;Dedicator of cytokinesis protein 3	Rhog;Elmo1;Dock3	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	None	Arhg Sid10750;;Moca	None	22734669
6202	S100A10-annexin A2-AHNAK	Mammalia	None	None	P07355;Q09666;Q6SQH4	302;79026;100008922	MI:0077- nuclear magnetic resonance	GO:0001778	plasma membrane repair	None	None	Annexin A2;Neuroblast differentiation-associated protein AHNAK ;Protein S100-A10	ANXA2;AHNAK;S100a10	Homo sapiens (Human);Homo sapiens (Human);Oryctolagus cuniculus (Rabbit)	None	None	ANX2 ANX2L4 CAL1H LPC2D;PM227;	None	22940583
6203	TFAP2C-Myc-KDM5B complex	Human	None	MCF-7 cells	P01106;Q92754;Q9UGL1	4609;7022;10765	MI:0019- coimmunoprecipitation	GO:0010564	regulation of cell cycle process	None	None	Myc proto-oncogene protein;Transcription factor AP-2 gamma ;Lysine-specific demethylase 5B	MYC;TFAP2C;KDM5B	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	BHLHE39,  c-Myc;;JARID1B PLU1 RBBP2H1	None	22371483
6204	Kremen1-AP-2 complex	Mouse	None	None	P34056;Q99N43	21418;84035	MI:0029- cosedimentation through density gradients	GO:0030111	regulation of Wnt signaling pathway	None	None	Transcription factor AP-2-alpha ;Kremen protein 1	Tfap2a;Kremen1	Mus musculus (Mouse);Mus musculus (Mouse)	None	None	Ap2tf Tcfap2a;Kremen	None	23251700
6205	Dkk1-Lrp6-Kremen2 complex	Mouse	None	None	O54908;O88572;Q8K1S7	13380;16974;73016	MI:0019- coimmunoprecipitation	GO:0030111	regulation of Wnt signaling pathway	None	None	Dickkopf-related protein 1 ;Low-density lipoprotein receptor-related protein 6 ;Kremen protein 2	Dkk1;Lrp6;Kremen2	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	None	;;	None	12050670
6206	ICAT-AR-beta-catenin complex	Human	None	Prostate cancer cells	P10275;P35222;Q9NSA3	367;1499;56998	MI:0019- coimmunoprecipitation;MI:0096- pull down	GO:0030111;GO:2000823	regulation of Wnt signaling pathway;regulation of androgen receptor activity	None	None	Androgen receptor;Catenin beta-1;Beta-catenin-interacting protein 1	AR;CTNNB1;CTNNBIP1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	DHTR, NR3C4;CTNNB;ICAT	None	21885566
6207	beta2AR-Gs complex	Mammalia	None	None	P04896;P07550	281793;154	MI:0114- x-ray crystallography	GO:0008277	regulation of G-protein coupled receptor protein signaling pathway	None	None	Guanine nucleotide-binding protein G;Beta-2 adrenergic receptor	GNAS;ADRB2	Bos taurus (Bovine);Homo sapiens (Human)	None	None	GNAS1;ADRB2R B2AR	None	21772288
6208	PNP homotrimer complex	Human	None	None	P00491	4860	MI:0114-x-ray crystallography	GO:0042278;GO:0004731	purine nucleoside metabolic process;purine-nucleoside phosphorylase activity	None	None	Purine nucleoside phosphorylase	PNP	Homo sapiens (Human)	None	None	NP	None	2104852
6209	MT1-G(i)-RGS20 complex	Human	None	None	O76081;P48039;P63096	8601;4543;2770	MI:0012- bioluminescence resonance energy transfer	GO:0007187	G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	None	None	Regulator of G-protein signaling 20 ;Melatonin receptor type 1A ;Guanine nucleotide-binding protein G	RGS20;MTNR1A;GNAI1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	RGSZ1 ZGAP1;;None	None	20859254
6210	MT1-MT2 complex	Human	MTNR1A-MTNR1B complex	HEK-234T cells	P48039;P49286	4543;4544	MI:0019- coimmunoprecipitation	GO:0007187	G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	None	None	Melatonin receptor type 1A ;Melatonin receptor type 1B	MTNR1A;MTNR1B	Homo sapiens (Human);Homo sapiens (Human)	None	None	;	None	20859254
6211	RSG20-MT1-MT2 complex	Human	None	None	O76081;P48039;P49286	8601;4543;4544	MI:0012- bioluminescence resonance energy transfer	GO:1901979	regulation of inward rectifier potassium channel activity	None	None	Regulator of G-protein signaling 20 ;Melatonin receptor type 1A ;Melatonin receptor type 1B	RGS20;MTNR1A;MTNR1B	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	RGSZ1 ZGAP1;;	None	20859254
6212	GM130-GRASP65 complex	Human	None	HeLa cells	Q08379;Q9BQQ3	2801;64689	MI:0114- x-ray crystallography	None	None	None	None	Golgin subfamily A member 2 ;Golgi reassembly-stacking protein 1	GOLGA2;GORASP1	Homo sapiens (Human);Homo sapiens (Human)	None	None	;GOLPH5 GRASP65	None	26363069
6213	DOCK8-WIP-WASp complex	Human	DOCK8-WIPF1-WAS complex	peripheral blood T cells;  DND41 T cell line	O43516;P42768;Q8NF50	7456;7454;81704	MI:0019-coimmunoprecipitation;MI:0428-imaging techniques	GO:0015629;GO:0042608;GO:0000910;GO:0001771;GO:0072678	actin cytoskeleton;T cell receptor binding;cytokinesis;immunological synapse formation;T cell migration	70.04.03;10.03.03	actin cytoskeleton;cytokinesis (cell division) /septum formation and hydrolysis	WAS/WASL-interacting protein family member 1;Wiskott-Aldrich syndrome protein;Dedicator of cytokinesis protein 8	WIPF1;WAS;DOCK8	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	DOCK8-WIP-WASp complex links T cell receptors to the actin cytoskeleton. The WASp-interacting protein (WIP) bridges DOCK8 to WASp and actin in T cells. The guanine nucleotide exchange factor activity of DOCK8 is essential for the integrity of the subcortical actin cytoskeleton as well as for TCR-driven WASp activation, F-actin assembly, immune synapse formation, actin foci formation, mechanotransduction, T cell transendothelial migration, and homing to lymph nodes, all of which also depend on WASp. The results indicate that DOCK8 and WASp are in the same signaling pathway that links TCRs to the actin cytoskeleton in TCR-driven actin assembly. DOCK8 binds to and colocalizes constitutively with WIP and WASp in T cells. WIP bridges DOCK8 to actin. DOCK8 GEF activity mediates TCR-driven WASp activation. DOCK8 is essential for TCR-driven actin foci formation and mechanotransduction.	WASPIP WIP;IMD2;None	Wiskott-Aldrich syndrome (WAS) is associated with mutations in the WAS protein (WASp), which plays a critical role in the initiation of T cell receptor-driven (TCR-driven) actin polymerization. The clinical phenotype of WAS includes susceptibility to infection, allergy, autoimmunity, and malignancy and overlaps with the symptoms of dedicator of cytokinesis 8 (DOCK8) deficiency, suggesting that the 2 syndromes share common pathogenic mechanisms.	27599296
6214	Dock8-Wipf1-Was complex	Mouse	Dock8-Wip-Wasp complex	None	P70315;Q8C147;Q8K1I7	22376;76088;215280	MI:0019-coimmunoprecipitation	GO:0015629;GO:0042608;GO:0000910;GO:0001771;GO:0072678	actin cytoskeleton;T cell receptor binding;cytokinesis;immunological synapse formation;T cell migration	70.04.03;10.03.03	actin cytoskeleton;cytokinesis (cell division) /septum formation and hydrolysis	Wiskott-Aldrich syndrome protein homolog;Dedicator of cytokinesis protein 8;WAS/WASL-interacting protein family member 1	Was;Dock8;Wipf1	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	DOCK8-WIP-WASp complex links T cell receptors to the actin cytoskeleton. The WASp-interacting protein (WIP) bridges DOCK8 to WASp and actin in T cells. The guanine nucleotide exchange factor activity of DOCK8 is essential for the integrity of the subcortical actin cytoskeleton as well as for TCR-driven WASp activation, F-actin assembly, immune synapse formation, actin foci formation, mechanotransduction, T cell transendothelial migration, and homing to lymph nodes, all of which also depend on WASp. The results indicate that DOCK8 and WASp are in the same signaling pathway that links TCRs to the actin cytoskeleton in TCR-driven actin assembly. DOCK8 binds to and colocalizes constitutively with WIP and WASp in T cells. WIP bridges DOCK8 to actin. DOCK8 GEF activity mediates TCR-driven WASp activation. DOCK8 is essential for TCR-driven actin foci formation and mechanotransduction.	Wasp;None;Waspip Wip	Wiskott-Aldrich syndrome (WAS) is associated with mutations in the WAS protein (WASp), which plays a critical role in the initiation of T cell receptor-driven (TCR-driven) actin polymerization. The clinical phenotype of WAS includes susceptibility to infection, allergy, autoimmunity, and malignancy and overlaps with the symptoms of dedicator of cytokinesis 8 (DOCK8) deficiency, suggesting that the 2 syndromes share common pathogenic mechanisms.	27599296
6215	GATOR1 complex	Human	None	HEK-293T cells	O75140;Q12980;Q8WTW4	9681;8131;10641	MI:0019-coimmunoprecipitation	GO:1903832;GO:1904262;GO:0005096	regulation of cellular response to amino acid starvation;negative regulation of TORC1 signaling;GTPase activator activity	18.02.01.01.01	GTPase activator (GAP)	DEP domain-containing protein 5;Nitrogen permease regulator 3-like protein;Nitrogen permease regulator 2-like protein	DEPDC5;NPRL3;NPRL2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	The loss of GATOR1 proteins prevented the inactivation of mTORC1 and dTORC1 normally caused by amino acid deprivation.	KIAA0645;C16orf35 CGTHBA MARE;TUSC4	GATOR1 components are present in low single-digit percentages of glioblastomas and ovarian cancers,	23723238
6216	GATOR2 complex	Human	None	HEK-293T cells	P55735;Q6PJI9;Q96EE3;Q96S15;Q9NXC5	6396;79726;81929;84219;54468	MI:0019- coimmunoprecipitation	GO:1903432	regulation of TORC1 signaling	None	None	Protein SEC13 homolog;WD repeat-containing protein 59;Nucleoporin SEH1;WD repeat-containing protein 24;WD repeat-containing protein mio	SEC13;WDR59;SEH1L;WDR24;MIOS	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	Inhibition of GATOR2 subunits suppresses mTORC1 signaling. GATOR2 is an inhibitor of an inhibitor (GATOR1) of the amino acid\u2013sensing branch of the TORC1 pathway.	D3S1231E SEC13L1 SEC13R;KIAA1923;SEC13L SEH1;C16orf21;None	None	23723238
6217	GATOR complex	Human	None	HEK-293T cells	O75140;P55735;Q12980;Q6PJI9;Q8WTW4;Q96EE3;Q96S15;Q9NXC5	9681;6396;8131;79726;10641;81929;84219;54468	MI:0019- coimmunoprecipitation	GO:1903432;GO:1903832	regulation of TORC1 signaling;regulation of cellular response to amino acid starvation	None	None	DEP domain-containing protein 5;Protein SEC13 homolog;Nitrogen permease regulator 3-like protein;WD repeat-containing protein 59;Nitrogen permease regulator 2-like protein;Nucleoporin SEH1;WD repeat-containing protein 24;WD repeat-containing protein mio	DEPDC5;SEC13;NPRL3;WDR59;NPRL2;SEH1L;WDR24;MIOS	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	GATOR as a complex that is composed of the two subcomplexes GATOR1 complexand GATOR2 complex. GATOR as a complex that interacts with and negatively regulates the Rag guanosine triphosphatases (GTPases) which promote mTORC1 translocation to the lysosomal surface.	KIAA0645;D3S1231E SEC13L1 SEC13R;C16orf35 CGTHBA MARE;KIAA1923;TUSC4;SEC13L SEH1;C16orf21;None	Inactivating mutations in GATOR1 components were found in glioblastomas and ovarian cancers.	23723238
6218	POL2R-SYMPK-SSU72 complex	Human	None	None	P24928;Q92797;Q9NP77	5430;8189;29101	MI:0114- x-ray crystallography	GO:1900363	regulation of mRNA polyadenylation	None	None	DNA-directed RNA polymerase II subunit RPB1;Symplekin;RNA polymerase II subunit A C-terminal domain phosphatase SSU72	POLR2A;SYMPK;SSU72	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	POLR2;SPK;	None	20861839
6219	DGKZ-RASGRP1-HRAS complex	Human	None	HEK293 cells	O95267;P01112;Q13574	10125;3265;8525	MI:0019-coimmunoprecipitation	GO:0007265	Ras protein signal transduction	None	None	RAS guanyl-releasing protein 1;GTPase HRas;Diacylglycerol kinase zeta	RASGRP1;HRAS;DGKZ	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	RASGRP;HRAS1;DAGK6	None	11257115
6220	HDAC10-PAX3-KAP1 complex	Human	HDAC10-PAX3-TRIM28 complex	HEK-293 cells	P23760;Q13263;Q969S8	5077;10155;83933	MI:0019- coimmunoprecipitation;MI:0416- fluorescence microscopy	GO:0048021;GO:0003700	regulation of melanin biosynthetic process;transcription factor activity, sequence-specific DNA binding	None	None	Paired box protein Pax-3 ;Transcription intermediary factor 1-beta;Histone deacetylase 10	PAX3;TRIM28;HDAC10	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	HUP2;KAP1 RNF96 TIF1B;	None	20032463
6221	Ccm2-Krit1-Ccm3 complex	Mouse	None	None	Q6S5J6;Q8K2Y9;Q8VE70	79264;216527;56426	MI:0019- coimmunoprecipitation	GO:0001525;GO:0090049;GO:1903587	angiogenesis;regulation of cell migration involved in sprouting angiogenesis;regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis	41.05.16	angiogenesis	Krev interaction trapped protein 1;Cerebral cavernous malformations protein 2 homolog;Programmed cell death protein 10	Krit1;Ccm2;Pdcd10	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	None	Ccm1;Osm;Tfar15	OMIM:116860 Cerebral cavernous malformations 1OMIM:603284 Cerebral cavernous malformations 2OMIM:603285 Cerebral cavernous malformations 3	17900104
6222	Ccm2-Krit1 complex	Mouse	CCM1-CCM2 complex	MEF cells	Q6S5J6;Q8K2Y9	79264;216527	MI:0019-coimmunoprecipitation	GO:0001525;GO:0090049;GO:1903587	angiogenesis;regulation of cell migration involved in sprouting angiogenesis;regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis	41.05.16	angiogenesis	Krev interaction trapped protein 1;Cerebral cavernous malformations protein 2 homolog	Krit1;Ccm2	Mus musculus (Mouse);Mus musculus (Mouse)	None	None	Ccm1;Osm	OMIM:116860 Cerebral cavernous malformations 1OMIM:603284 Cerebral cavernous malformations 2	16037064
6223	KRIT1-CCM2-ICAP1 complex	Human	None	HEK-293T cells	O00522;O14713;Q9BSQ5	889;9270;83605	MI:0019- coimmunoprecipitation	GO:0007155	cell adhesion	34.07	cell adhesion	Krev interaction trapped protein 1;Integrin beta-1-binding protein 1;Cerebral cavernous malformations 2 protein	KRIT1;ITGB1BP1;CCM2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	CCM1;ICAP1;C7orf22	None	16037064
6224	KRIT1-CCM2-MEKK3 complex	Human	None	HEK-293T cells	O00522;Q99759;Q9BSQ5	889;4215;83605	MI:0019- coimmunoprecipitation	GO:1900744	regulation of p38MAPK cascade	None	None	Krev interaction trapped protein 1;Mitogen-activated protein kinase kinase kinase 3 ;Cerebral cavernous malformations 2 protein	KRIT1;MAP3K3;CCM2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	CCM1;MAPKKK3 MEKK3;C7orf22	None	16037064
6225	Heg1-Krit1-Ccm2 complex	Mouse	None	None	E9Q7X6;Q6S5J6;Q8K2Y9	None;79264;216527	MI:0019- coimmunoprecipitation	GO:0060914;GO:0001944	heart formation;vasculature development	47.03.03.02	vessels	Protein HEG homolog 1;Krev interaction trapped protein 1;Cerebral cavernous malformations protein 2 homolog	Heg1;Krit1;Ccm2	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	None	;Ccm1;Osm	None	19151727
6226	Rab11a-FIP3-DLIC-1 complex	Human	None	A-431 cells	P62491;Q9Y6G9;Q9Y6K9	8766;51143;8517	MI:0047- far western blotting	GO:0016197	endosomal transport	None	None	Ras-related protein Rab-11A;Cytoplasmic dynein 1 light intermediate chain 1;NF-kappa-B essential modulator	RAB11A;DYNC1LI1;IKBKG	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	RAB11;DNCLI1;FIP3, NEMO	None	20026645
6227	S4-synectin-RhoGDI1 complex	Mouse	None	None	P84096;Q3U5S6;Q9Z0G0	56212;20971;67903	MI:0019- coimmunoprecipitation;MI:0096- pull down	GO:0043087;GO:0010594	regulation of GTPase activity;regulation of endothelial cell migration	None	None	Rho-related GTP-binding protein RhoG ;Syndecan;PDZ domain-containing protein GIPC1	Rhog;Sdc4;Gipc1	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	None	Arhg Sid10750;;Gipc Rgs19ip1 Semcap1	None	19581409
6228	Ubiquitin E3 ligase (CUL3, KLHL3)	Mammalia	CUL3-KLHL3 complex	COS-7 cells	A0A0D9RLK8;F6R900	103244596;707550	MI:0019-coimmunoprecipitation;MI:0069-mass spectrometry studies of complexes	GO:0006511;GO:0031461	ubiquitin-dependent protein catabolic process;cullin-RING ubiquitin ligase complex	14.13.01.01	proteasomal degradation (ubiquitin/proteasomal pathway)	Uncharacterized protein;Cullin-3	KLHL3;CUL3	Chlorocebus sabaeus (Green monkey) (Cercopithecus;Macaca mulatta (Rhesus macaque)	None	Kelch-like 3 and Cullin 3 regulate electrolyte homeostasis via ubiquitination and degradation of WNK4.	None;None	Pseudohypoaldosteronism type II (PHAII) is a rare Mendelian syndrome featuring hypertension and hyperkalemia resulting from constitutive renal salt reabsorption and impaired K+ secretion. Mutations in Kelch-like 3 (KLHL3) and Cullin 3 (CUL3), components of an E3 ubiquitin ligase complex, were found to cause PHAII.	23576762
6229	ULK1-ATG13-RB1CC1  complex	Human	ULK1-ATG13-FIP200 complex	None	O75143;O75385;Q8TDY2	9776;8408;9821	MI:0019-coimmunoprecipitation	GO:1905037;GO:0006914	autophagosome organization;autophagy	None	None	Autophagy-related protein 13;Serine/threonine-protein kinase ULK1;RB1-inducible coiled-coil protein 1	ATG13;ULK1;RB1CC1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	KIAA0652;KIAA0722;FIP200 ,KIAA0203, RBICC	None	26921696
6230	ULK2-ATG13-RB1CC1 complex	Human	ULK2-ATG13-FIP200 complex	None	O75143;Q8IYT8;Q8TDY2	9776;9706;9821	MI:0019-coimmunoprecipitation	GO:0006914;GO:1905037	autophagy;autophagosome organization	None	None	Autophagy-related protein 13;Serine/threonine-protein kinase ULK2;RB1-inducible coiled-coil protein 1	ATG13;ULK2;RB1CC1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	KIAA0652;KIAA0623;FIP200 ,KIAA0203, RBICC	None	26921696
6231	Ubiquitin E3 ligase (CUL3, KLHL3, WNK1)	Mammalia	KLHL3-CUL3-WNK1 complex	COS-7 cells	A0A0D9RLK8;F6R900;F6RGS5	103244596;707550;706493	MI:0019-coimmunoprecipitation;MI:0069-mass spectrometry studies of complexes	GO:0006511;GO:0031461	ubiquitin-dependent protein catabolic process;cullin-RING ubiquitin ligase complex	14.13.01.01	proteasomal degradation (ubiquitin/proteasomal pathway)	Uncharacterized protein;Cullin-3;Uncharacterized protein	KLHL3;CUL3;WNK1	Chlorocebus sabaeus (Green monkey) (Cercopithecus;Macaca mulatta (Rhesus macaque);Macaca mulatta (Rhesus macaque)	None	KLHL3 normally binds to WNK1 and WNK4, members of WNK (with no lysine) kinase family that have been found mutated in Pseudohypoaldosteronism type II (PHAII). CUL3 is a scaffold protein that assembles a complex that targets specific proteins for ubiquitination.	None;None;None	Pseudohypoaldosteronism type II (PHAII) is a rare Mendelian syndrome featuring hypertension and hyperkalemia resulting from constitutive renal salt reabsorption and impaired K(+) secretion. Mutations in Kelch-like 3 (KLHL3) and Cullin 3 (CUL3), components of an E3 ubiquitin ligase complex, were found to cause PHAII.	23576762
6232	ULK1-ATG13-RB1CC1-ATG101 complex	Human	ULK1-ATG13-FIP200-ATG101 complex; Autophagy initiation complex	None	O75143;O75385;Q8TDY2;Q9BSB4	9776;8408;9821;60673	MI:0019-coimmunoprecipitation	GO:0006914	autophagy	None	None	Autophagy-related protein 13;Serine/threonine-protein kinase ULK1;RB1-inducible coiled-coil protein 1;Autophagy-related protein 101	ATG13;ULK1;RB1CC1;ATG101	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	KIAA0652;KIAA0722;FIP200 ,KIAA0203, RBICC;C12orf44	None	19597335
